Node;Closeness Centrality
3;0.40476190476190477
1;0.4
44;0.36363636363636365
14;0.3269230769230769
57;0.3269230769230769
8;0.3253588516746411
49;0.3076923076923077
34;0.3063063063063063
46;0.30357142857142855
22;0.3022222222222222
62;0.3022222222222222
26;0.29694323144104806
48;0.2956521739130435
53;0.29310344827586204
54;0.29310344827586204
30;0.2905982905982906
31;0.2905982905982906
4;0.28936170212765955
58;0.28936170212765955
64;0.28936170212765955
65;0.28936170212765955
66;0.28936170212765955
67;0.28936170212765955
68;0.28936170212765955
69;0.28936170212765955
2;0.2869198312236287
59;0.2869198312236287
60;0.2869198312236287
61;0.2869198312236287
33;0.28451882845188287
43;0.27983539094650206
56;0.27091633466135456
50;0.2698412698412698
63;0.26877470355731226
12;0.26356589147286824
10;0.2625482625482625
5;0.25092250922509224
16;0.25
45;0.24372759856630824
19;0.24199288256227758
51;0.23859649122807017
23;0.23776223776223776
24;0.23776223776223776
55;0.23529411764705882
52;0.2305084745762712
28;0.22818791946308725
29;0.22818791946308725
40;0.22742474916387959
32;0.2222222222222222
35;0.2222222222222222
13;0.2111801242236025
7;0.21052631578947367
11;0.21052631578947367
15;0.21052631578947367
9;0.20987654320987653
6;0.20606060606060606
17;0.20606060606060606
42;0.20298507462686566
18;0.20118343195266272
25;0.19883040935672514
47;0.19653179190751446
37;0.192090395480226
41;0.17391304347826086
21;0.1712846347607053
20;0.1687344913151365
36;0.16585365853658537
39;0.16152019002375298
38;0.15315315315315314
27;0.1471861471861472
