Node;Betweeness Centrality
1;0.5338461538461539
2;0.0
3;0.0041025641025641026
4;0.10512820512820512
5;0.03333333333333333
6;0.0
7;0.00923076923076923
8;0.3194871794871795
9;0.01846153846153846
10;0.01846153846153846
11;0.07076923076923076
12;0.07589743589743589
13;0.13435897435897434
14;0.022564102564102562
15;0.45692307692307693
16;0.013333333333333332
17;0.06871794871794872
18;0.018974358974358976
19;0.12717948717948718
20;0.0
21;0.0
22;0.0
23;0.0
24;0.0
25;0.0
26;0.0
27;0.0
